"doc_id","text","vote","vote_binary","text_length"
"048_400027_0297016_RMY.txt","mr.chairman i rise today in support of h.r. 27 the job training improvement act. through local and state workforce investment boards this legislation will strengthen job training programs to meet the needs of local businesses many of which rely heavily on information technology it. in the span of just two decades information technology has become a commonplace part of our lives and has also created nearly 10 million jobs in the united states. information technology is a factor in the productivity and success of many different sectors of our economy. whether one is an auto mechanic a dentist or a","Y",1,602
"048_400029_0294015_ROY.txt","mr.speaker i yield myself such time as i may consume. may i respond simply to the arguments about our veterans because they are so important to us. let me reiterate that h.r. 27 does not harm workersretaining programs for veterans. not one dollar from this account comes that is meant to help veterans with their training. the programs that we already have in place specifically the disabled veterans' outreach program the local veterans employment representative program the vocational rehabilitation program already are required to contribute to the infrastructure of these onesstop career center programs. any money that would come to","Y",1,637
"048_400032_0287001_ROY.txt","mr.speaker we are going to talk about economic competitiveness in the economy tonight but before we start on that topic i just want to draw attention to a couple of things that have appeared in the newspaper and talk about iraq and the middle east. there is an article that i pulled from the wires today 2 000 demonstrate at an iraqi bombing site and this is really quite an amazing story mr.speaker. this is from baghdad more than 2 000 people demonstrated tuesday at the site of a car bombing south of baghdad that killed 125 people chanting no","Y",1,546
"048_400032_0287003_ROY.txt","mr.speaker as we talk about the economy and talk about the need to have an economic renaissance to see this continue. as i said earlier we have had 40 consecutive months of economic growth. a lot of times women do not look forward to that 40th birthday but when we talk about the 40th month of economic growth that is certainly a date that we want to celebrate. the gentleman from iowa mentioned tax reform and the cost of 22 cents of every dollar of manufactured good in this nation being eaten up by compliance and the importance of us","Y",1,537
"048_400032_0287005_ROY.txt","i thank the gentlewoman for bringing her perspective to the debate and for celebrating allowing us to celebrate with the good people of forsythe county north carolina as they welcome 700 new jobs to their area. how exciting that is and how exciting for us that we have a program like the workforce development programs that are very successful that assist in retraining folks. i know in my 7th congressional district in tennessee we have seen tremendous success with the workforce development program. as a matter of fact we have a program in montgomery county tennessee that is really attuned","Y",1,593
"048_400032_0287007_ROY.txt","mr.speaker i want to thank the gentleman from texas. and i would like to commend him for meeting with the students and working with the students from grace high school in tyler texas and for their study their caring about the free enterprise system and seeking greater information on that. how exciting that they are doing that. you know mr.speaker one of the things we are hearing from business schools all across the country one of the things we are hearing from high schools from tech schools is that more and more people are saying i want to be an","Y",1,551
"048_400032_0287009_ROY.txt","i thank the gentleman from kentucky for talking with us a few moments about what he is seeing happening and his desire to see some changes take place here in the policies that we will make the things that we will implement in this congress in the 109th congress. mr.speaker one of the things that i do a lot and that i had the opportunity to do over the break is to visit with small business owners. i heard repeatedly from them that what they do not want and what they do not need is more taxes more regulation and","Y",1,515
"048_400036_0296017_ROY.txt","mr.chairman i want to thank the gentleman from texas for raising this issue. data on young adults participating in adult education programs is important information for our committee as well as for the adult education programs and for school districts to keep in mind as we work to raise our high school completion rates. and it is my understanding that this is information that the department already collects but has not been a focus in program reporting.","Y",1,457
"048_400036_0296021_ROY.txt","mr.chairman again i want to thank the gentleman for his work on this issue. i will continue to work with him and the department to ensure that we have the necessary information to carefully monitor the participation of high schoolsaged students in adult education programs.","Y",1,273
"048_400036_0297006_ROY.txt","mr.chairman i want to thank the gentlewoman for yielding. i pledge to work with her and other interested members of the new york delegation during conference on this legislation to identify and remedy any governance problems which new york may have under this bill. however it is not clear that the language that the gentlewoman offered in committee that is included in s. 9 fixes the problem in new york and could have other unintended consequences in new york and other states. so my goal is to ensure that the mandatory partners contribute to the cost of the onesstop infrastructure","Y",1,585
"048_400036_0297013_ROY.txt","mr.chairman i yield myself the balance of my time. mr.chairman what we have before us is the reauthorization of the workforce investment act. it was first passed in 1998. these onesstop centers that have been created all over the country to help the people gain skills and to increase their skills are a critical part of what we need to do if we are going to have a successful economy over the next 10 20 and even 50 years. what we have done in this reauthorization is tried to make these onesstop centers work even better. we believe that by","Y",1,542
"048_400036_0297029_ROY.txt","mr.chairman i yield myself such time as i may consume just to correct the record. the gentlewoman who just spoke says that we eliminated a preference for veterans in this bill. the fact is that there is a preference for veterans written into the law. that has not changed at all. secondly the gentlewoman said there are block grants in the underlying bill. there are no block grants. as a matter of fact the targeting of funds to the local workforce boards in this bill is more structured than it is today under current law so that at least 75","Y",1,543
