doc_id,vote_binary,text
048_400027_0297016_RMY.txt,1,mr chairman rise today support job training improvement act local state workforce investment boards legislation will strengthen job training programs meet needs local businesses many rely heavily information technology span just two decades information technology become commonplace part lives also created nearly million jobs united states information technology factor productivity success many different sectors economy whether one auto mechanic dentist
048_400029_0294015_ROY.txt,1,mr speaker yield time may consume may respond simply arguments veterans important us let reiterate not harm workersretaining programs veterans not one dollar account comes meant help veterans training programs already place specifically disabled veterans outreach program local veterans employment representative program vocational rehabilitation program already required contribute infrastructure onesstop career center programs money come
048_400032_0287001_ROY.txt,1,mr speaker going talk economic competitiveness economy tonight start topic just want draw attention couple things appeared newspaper talk iraq middle east article pulled wires today demonstrate iraqi bombing site really quite amazing story mr speaker baghdad people demonstrated tuesday site car bombing south baghdad killed people chanting no
048_400032_0287003_ROY.txt,1,mr speaker talk economy talk need economic renaissance see continue said earlier consecutive months economic growth lot times women not look forward th birthday talk th month economic growth certainly date want celebrate gentleman iowa mentioned tax reform cost cents every dollar manufactured good nation eaten compliance importance us
048_400032_0287005_ROY.txt,1,thank gentlewoman bringing perspective debate celebrating allowing us celebrate good people forsythe county north carolina welcome new jobs area exciting exciting us program like workforce development programs successful assist retraining folks know th congressional district tennessee seen tremendous success workforce development program matter fact program montgomery county tennessee really attuned
048_400032_0287007_ROY.txt,1,mr speaker want thank gentleman texas like commend meeting students working students grace high school tyler texas study caring free enterprise system seeking greater information exciting know mr speaker one things hearing business schools across country one things hearing high schools tech schools people saying want
048_400032_0287009_ROY.txt,1,thank gentleman kentucky talking us moments seeing happening desire see changes take place policies will make things will implement congress th congress mr speaker one things lot opportunity break visit small business owners heard repeatedly not want not need taxes regulation
048_400036_0296017_ROY.txt,1,mr chairman want thank gentleman texas raising issue data young adults participating adult education programs important information committee well adult education programs school districts keep mind work raise high school completion rates understanding information department already collects not focus program reporting
048_400036_0296021_ROY.txt,1,mr chairman want thank gentleman work issue will continue work department ensure necessary information carefully monitor participation high schoolsaged students adult education programs
048_400036_0297006_ROY.txt,1,mr chairman want thank gentlewoman yielding pledge work interested members new york delegation conference legislation identify remedy governance problems new york may bill however not clear language gentlewoman offered committee included fixes problem new york unintended consequences new york states goal ensure mandatory partners contribute cost onesstop infrastructure
048_400036_0297013_ROY.txt,1,mr chairman yield balance time mr chairman us reauthorization workforce investment act first passed onesstop centers created country help people gain skills increase skills critical part need going successful economy next even years done reauthorization tried make onesstop centers work even better believe
048_400036_0297029_ROY.txt,1,mr chairman yield time may consume just correct record gentlewoman just spoke says eliminated preference veterans bill fact preference veterans written law not changed secondly gentlewoman said block grants underlying bill no block grants matter fact targeting funds local workforce boards bill structured today current law least
048_400036_0297049_ROY.txt,1,mr chairman yield seconds title vii civil rights act explicitly says religious organizations hiring can hire people faith period says not say whether take federal money not take federal money says religious organization can take religion account terms hiring period mr chairman yield minutes gentleman indiana
048_400070_0297019_RMY.txt,1,mr chairman rise support job training improvement act will reauthorize workforce investment act ss programs provide job training youths veterans seasonal migrant workers past six years wia offered onesstop delivery system jobsseekers access labor market information job counseling job training addition access numerous federal programs provide services job seekers facilities wilmington newark dover georgetown onesstop delivery system delaware proved efficient tool
048_400103_0297085_DON.txt,0,mr speaker outsourcing goodspaying american jobs countries crisis touches every community united states half million jobs outsourced past years countries like china india mexico time million americans work americans now understand outsourcing negatively impacts every segment economy not million jobs lost oncesvibrant manufacturing sector since beginning administration white collar jobs offshored well according one report
048_400160_0297015_DMN.txt,0,mr chairman rise today voice opposition job training improvement act nothing improve job training country congress opportunity take reauthorization workforce investment act address needs millions unemployed americans instead presented proposal reduces impact job training programs cutting funding traditional job training providers veteran employment programs perkins vocational education programs bill also consolidates adult dislocated worker employment service programs funding repealing wagner
